"","id","score","H_-5","tau_-5","alpha_-5","R2_-5","f_alpha_-5","H_-4","tau_-4","alpha_-4","R2_-4","f_alpha_-4","H_-3","tau_-3","alpha_-3","R2_-3","f_alpha_-3","H_-2","tau_-2","alpha_-2","R2_-2","f_alpha_-2","H_-1","tau_-1","alpha_-1","R2_-1","f_alpha_-1","H_0","tau_0","alpha_0","R2_0","f_alpha_0","H_1","tau_1","alpha_1","R2_1","f_alpha_1","H_2","tau_2","alpha_2","R2_2","f_alpha_2","H_3","tau_3","alpha_3","R2_3","f_alpha_3","H_4","tau_4","alpha_4","R2_4","f_alpha_4","H_5","tau_5","R2_5","Hmax","Hmin","alphamax","alphamin","dH","dalpha","total_words"
"1","001519c8",3.5,1.47586908584339,-8.37934542921696,1.64209119227176,0.847649241393074,0.168889467858149,1.4343135592363,-6.7372542369452,1.61323726422719,0.857117268441484,0.284305180036432,1.37467232423933,-5.124016972718,1.55737492899999,0.875825448013198,0.451892185718025,1.28332102185901,-3.56664204371801,1.43434988995653,0.912957651969575,0.697942263804948,1.13229215376148,-2.13229215376148,1.13229215376148,0.960517748672693,1,0.895078286681,-1,0.62254944307287,0.979319010914907,1,0.62254944307287,-0.37745055692713,0.212855803123637,0.97205315949128,0.590306360050767,0.417702623098253,-0.164594753803493,0.0265036928578273,0.943797754140439,0.217602139519148,0.287302979684778,-0.138091060945666,-0.0580586306367481,0.887321413551054,-0.0360848309645785,0.200962577104397,-0.196149691582414,-0.104376608864333,0.78413399328302,-0.221356743874919,0.139894739910651,-0.300526300446747,0.617920843213049,1.47586908584339,0.139894739910651,1.64209119227176,-0.104376608864333,1.33597434593274,1.7464678011361,188
"2","0022f953",3.5,2.79057590018103,-14.9528795009052,2.99787271664569,0.695781541056589,-0.0364840823233052,2.73875169606487,-11.9550067842595,3.0349908979537,0.70145498938565,-0.184956807555324,2.64000529543526,-8.92001588630577,3.12101644426911,0.713729578211264,-0.443033446501552,2.39949972101833,-5.79899944203666,3.07930473224183,0.744272441598277,-0.359610022447007,1.71969470979483,-2.71969470979483,1.71969470979483,0.855781915740773,1,1.13488824213388,-1,0.843241498832746,0.97770847159863,1,0.843241498832746,-0.156758501167254,0.373144313605233,0.973560346516033,0.529902814772488,0.608192906218989,0.216385812437979,0.293322799101406,0.925850678779878,0.370259785764833,0.503236203846462,0.509708611539385,0.294325768003523,0.868047710548342,0.373268692471185,0.451008594885727,0.804034379542908,0.288359150627338,0.817529529683115,0.349402222966443,0.418478706034049,1.09239353017025,0.775041674610735,2.79057590018103,0.418478706034049,3.12101644426911,0.288359150627338,2.37209719414698,2.83265729364177,268
"3","0042269b",6,1.59833538675395,-8.99167693376973,1.69627942252302,0.95320078103254,0.510279821154613,1.57384937781168,-7.29539751124671,1.65904132776139,0.957275224203536,0.659232200201143,1.54545206116177,-5.63635618348532,1.61117616506691,0.963735034784975,0.80282768828458,1.5125900092092,-4.02518001841841,1.56191781734984,0.972751093783426,0.901344383718715,1.46326220106856,-2.46326220106856,1.46326220106856,0.982020415893477,1,1.30282892223551,-1,0.892457596792384,0.9895776396437,1,0.892457596792384,-0.107542403207616,0.281387498307827,0.987002638636194,0.388929901515443,0.586922547550106,0.173845095100211,0.165332112408782,0.945893333394283,0.156819129717354,0.446392402502998,0.339177207508993,0.162887071106213,0.861614626005994,0.149484005809647,0.375516069653802,0.502064278615207,0.165965586855852,0.768438313671103,0.161798068808202,0.333605973094212,0.668029865471059,0.69000007759022,1.59833538675395,0.333605973094212,1.69627942252302,0.162887071106213,1.26472941365973,1.53339235141681,277
"4","0059420b",2,0.898286179288104,-5.49143089644052,0.943407289644203,0.811205946602669,0.774394448219502,0.887005901699079,-4.54802360679632,0.905765750898123,0.819966149486733,0.924960603203824,0.880752618632731,-3.64225785589819,0.875841597500398,0.834708119887352,1.014733063397,0.883208129198897,-2.76641625839779,0.874760441360969,0.860767490408969,1.01689537567586,0.891655817036826,-1.89165581703683,0.891655817036825,0.905023925364631,1,0.887225416500757,-1,0.774065642914388,0.952194067921178,1,0.774065642914388,-0.225934357085612,0.261552775125559,0.809497766780874,0.487487132211171,0.517809209019973,0.0356184180399466,0.0223483399512709,0.309374944354855,0.0090782618625953,0.352655585997073,0.0579667579912175,0.0044174924249738,0.112076287923032,-0.0447142807162961,0.265596062604048,0.0623842504161913,0.00936532538324286,0.0555121152732948,-0.0249229488832199,0.214349915159887,0.0717495757994342,0.0336332448439063,0.898286179288104,0.214349915159887,0.943407289644203,0.0044174924249738,0.683936264128217,0.93898979721923,156
"5","0075873a",4,4.33365107371123,-22.6682553685561,4.55071078032153,0.779670779191504,-0.085298533051521,4.27938614705865,-18.1175445882346,4.58982752514049,0.778445894324204,-0.241765512327333,4.17590568769804,-13.5277170630941,4.67755226597033,0.776954279171498,-0.504939734816869,3.9250823985619,-8.8501647971238,4.80899663971999,0.776421121499428,-0.76782848231619,3.0411681574038,-4.0411681574038,3.0411681574038,0.799143387813224,1,1.29015203292845,-1,0.751125351505573,0.984665715582394,1,0.751125351505573,-0.248874648494427,0.241317661509017,0.972373752637192,0.490192310003443,0.496221506507295,-0.00755698698540963,0.0820912962008583,0.918533178931622,0.171739579387126,0.358178103071816,0.0745343092154487,0.0411337797050297,0.788171683326069,0.0488670298996405,0.27891702223012,0.115668088920478,0.0301896380693929,0.614270828744329,0.00509046335709318,0.229171545397974,0.145857726989871,0.460400194769311,4.33365107371123,0.229171545397974,4.80899663971999,0.0301896380693929,4.10447952831326,4.7788070016506,212
"6","0081af50",2,1.16226951825627,-6.81134759128136,1.30496502307426,0.957842289347291,0.286522475910086,1.12659564205178,-5.50638256820711,1.26488947592663,0.96361220646786,0.446824664500589,1.08049769742683,-4.24149309228048,1.19648125810806,0.970059443749355,0.652049317956311,1.02250591708621,-3.04501183417242,1.09549938021374,0.976432148723065,0.85401307374494,0.949512453958681,-1.94951245395868,0.949512453958681,0.982470269222782,1,0.845978126181095,-1,0.691081635640703,0.987759344550067,1,0.691081635640703,-0.308918364359297,0.37063858708229,0.986209431636305,0.679556951441588,0.530860111361497,0.0617202227229934,0.200909051571931,0.956907027688757,0.340097880420869,0.420876424764975,0.262629274294925,0.143935650808576,0.887728736918085,0.169177678130804,0.351641231275875,0.406564925103501,0.117633851713272,0.800054048206928,0.0639704817495883,0.304839755363355,0.524198776816773,0.713103655725052,1.16226951825627,0.304839755363355,1.30496502307426,0.117633851713272,0.857429762892918,1.18733117136098,210
"7","0093f095",4.5,1.42147021801888,-8.10735109009442,1.43688092522497,0.902375297503032,0.922946463969556,1.41761754121736,-6.67047016486945,1.43377341807323,0.91227107287203,0.935376492576545,1.41223224893207,-5.23669674679622,1.4277108647244,0.926742356671457,0.953564152623026,1.40449294103591,-3.80898588207182,1.41637366172535,0.946618322672164,0.976238558621125,1.39261222034647,-2.39261222034647,1.39261222034647,0.970136222302361,1,1.29824609752849,-1,0.898227822560132,0.987147353316878,1,0.898227822560132,-0.101772177439868,0.226527748708287,0.974823665536069,0.328299926148155,0.562377785634209,0.124755571268419,0.080150412411607,0.942165683248769,0.0355452535547955,0.401635327893342,0.204905983680026,0.0644315128993049,0.914964540094923,-0.0116114449821108,0.317334374144833,0.26933749657933,0.0652582881858808,0.883917696932553,-0.00830434383580747,0.266919156953042,0.334595784765211,0.846551098651081,1.42147021801888,0.266919156953042,1.43688092522497,0.0644315128993049,1.15455106106584,1.37244941232567,184
"8","009e23ab",4,1.71687377226098,-9.58436886130489,1.86091129021004,0.562243449410805,0.279812410254712,1.68086439277371,-7.72345757109486,1.86393694525049,0.573549997696881,0.267709790092893,1.61984020861479,-5.85952062584437,1.88724862667685,0.598256073868961,0.197774745813818,1.48613599958376,-3.97227199916752,1.83116364362655,0.662079963203592,0.309944711914416,1.14110835554097,-2.14110835554097,1.14110835554097,0.867165299179212,1,0.898440867082092,-1,0.729881202647458,0.975870097496723,1,0.729881202647458,-0.270118797352542,0.360817144640489,0.979200271809816,0.630935941993031,0.545349173643974,0.090698347287947,0.207692919529708,0.94759427470726,0.324687491771469,0.432797088939218,0.298391266817655,0.173885097939661,0.862711847390644,0.223264027001329,0.368069091189329,0.472276364757316,0.159615570740566,0.747894657146225,0.166185918204949,0.326378387099577,0.631891935497883,0.639180927974048,1.71687377226098,0.326378387099577,1.88724862667685,0.159615570740566,1.3904953851614,1.72763305593628,237
"9","00e048f1",3.5,1.15190969137798,-6.75954845688991,1.31709631880176,0.702809609635327,0.174066862881101,1.11061303452204,-5.44245213808815,1.28387914388037,0.71826334856971,0.306935562566685,1.05285766473593,-4.15857299420778,1.209025898095,0.751731775038027,0.531495299922784,0.974773548056391,-2.94954709611278,1.06349750398393,0.817491748748347,0.822552088144922,0.886049592128852,-1.88604959212885,0.886049592128852,0.905523336729256,1,0.821241533502892,-1,0.740179167048239,0.957305123421252,1,0.740179167048239,-0.259820832951761,0.355425940869449,0.941634388656309,0.615246773821211,0.547802553958844,0.0956051079176883,0.11676488939746,0.7762028950074,0.137924670877233,0.404123332438383,0.212369997315149,0.0807012378738023,0.563373153544759,0.0297337163062583,0.323267808797238,0.293071235188951,0.0745227140793878,0.421180528838175,0.00501962112860022,0.273518789853668,0.367593949268339,0.331298904012001,1.15190969137798,0.273518789853668,1.31709631880176,0.0745227140793878,0.878390901524314,1.24257360472237,173
"10","00e1f05a",4.5,2.04145523638278,-11.2072761819139,2.3180262367644,0.750014869733636,-0.382855001908077,1.97231248628738,-8.88924994514951,2.30473004292736,0.747469838702665,-0.329670226559916,1.86150663407405,-6.58451990222215,2.27642295999855,0.749945934560686,-0.244748977773487,1.6540484711118,-4.30809694222361,2.11628483898673,0.776178221650882,0.0755272642501543,1.19181210323688,-2.19181210323688,1.19181210323688,0.917437577232374,1,0.876532133517605,-1,0.697695415601761,0.991710355403664,1,0.697695415601761,-0.302304584398239,0.401053428360991,0.996484793761115,0.70335801275923,0.549374421981376,0.098748843962752,0.29794698225439,0.991537948880909,0.497145120546028,0.465565275405714,0.396695826217142,0.289231162387958,0.971868657881108,0.470997660946732,0.421481747151275,0.6859269886051,0.294909596532815,0.946434132587993,0.493711397526159,0.396167317027583,0.980836585137915,0.922574148524679,2.04145523638278,0.396167317027583,2.3180262367644,0.289231162387958,1.6452879193552,2.02879507437644,503
