"","id","score","H_-5","tau_-5","alpha_-5","R2_-5","f_alpha_-5","H_-4","tau_-4","alpha_-4","R2_-4","f_alpha_-4","H_-3","tau_-3","alpha_-3","R2_-3","f_alpha_-3","H_-2","tau_-2","alpha_-2","R2_-2","f_alpha_-2","H_-1","tau_-1","alpha_-1","R2_-1","f_alpha_-1","H_0","tau_0","alpha_0","R2_0","f_alpha_0","H_1","tau_1","alpha_1","R2_1","f_alpha_1","H_2","tau_2","alpha_2","R2_2","f_alpha_2","H_3","tau_3","alpha_3","R2_3","f_alpha_3","H_4","tau_4","alpha_4","R2_4","f_alpha_4","H_5","tau_5","R2_5","Hmax","Hmin","alphamax","alphamin"
"1","001519c8",3.5,1.63282143423978,-9.16410717119891,1.88037535654785,0.890223061923806,-0.237769611540358,1.57093295366276,-7.28373181465106,1.85825275615515,0.893197876941583,-0.149279209969548,1.4751596861653,-5.42547905849591,1.78181942409799,0.901272337190977,0.0800207862019322,1.32182981719896,-3.64365963439792,1.54777767452939,0.922211660226484,0.548104285339144,1.09588195986853,-2.09588195986853,1.09588195986853,0.951479635945723,1,0.819406662745324,-1,0.510129583361865,0.959166741138479,1,0.510129583361865,-0.489870416638135,-0.0766400723249656,0.87439646467929,0.41323034431317,0.21674475551845,-0.566510488963101,-0.428099050665948,0.319426111619418,-0.289687612368796,0.00179682012365029,-0.994609539629049,-0.536680043108734,1.61603139607379e-05,-0.615430589697151,-0.132822395684446,-1.53128958273778,-0.554913755009351,0.0578860710186569,-0.68836543729962,-0.217240667549427,-2.08620333774713,0.119128400671953,1.63282143423978,-0.217240667549427,1.88037535654785,-0.554913755009351
"2","0022f953",3.5,2.82522444648942,-15.1261222324471,3.11043920089768,0.771003696845313,-0.42607377204131,2.75392075788735,-12.0156830315494,3.11982060340207,0.7703548206951,-0.463599382058877,2.63195414271578,-8.89586242814734,3.13590444693113,0.773694354164566,-0.511850912646059,2.3799789906081,-5.75995798121621,2.99385503848399,0.793148411170241,-0.227752095751768,1.76610294273222,-2.76610294273222,1.76610294273222,0.894510637495697,1,1.22771757440541,-1,0.896600343428653,0.991136701548231,1,0.896600343428653,-0.103399656571347,0.49811157959266,0.927410307740806,0.601511236164006,0.697355961510656,0.394711923021313,0.396976383772554,0.750621518944359,0.399240844523794,0.597229435597955,0.791688306793866,0.353473748400373,0.61956868604786,0.268732938407253,0.53629051379856,1.14516205519424,0.339161723396271,0.540759547250038,0.211484838390846,0.496864755718102,1.48432377859051,0.491111756532715,2.82522444648942,0.496864755718102,3.13590444693113,0.339161723396271
"3","0042269b",6,1.51879059706856,-8.5939529853428,1.58407323541743,0.928537759705885,0.673586808255645,1.50246993748134,-7.00987974992537,1.54021439446809,0.932968749880532,0.849022172053025,1.48988845181909,-5.46966535545728,1.49336129495494,0.941898342172038,0.989581470592472,1.48815203025117,-3.97630406050234,1.49110652672251,0.958808998365368,0.99409100705732,1.48519753377983,-2.48519753377983,1.48519753377983,0.982132372637468,1,1.31712815584559,-1,0.816272935312771,0.988701113686809,1,0.816272935312771,-0.183727064687229,0.148412434060235,0.96797482011645,0.332139498747464,0.482342684686503,-0.0353146306269937,0.0137854313137629,0.927841289276759,0.0628854932545194,0.326156933562256,-0.0215291993132308,-0.0145091341622435,0.868397561150986,-0.0219982031734998,0.240990416631131,-0.0360383334754744,-0.0236993390803817,0.798454559350766,-0.0587590228460524,0.188052465488829,-0.059737672555856,0.723926502060123,1.51879059706856,0.188052465488829,1.58407323541743,-0.0236993390803817
"4","0059420b",2,1.0424701805428,-6.21235090271401,1.12089662867217,0.898605194456844,0.607867759353137,1.02286356851046,-5.09145427404184,1.08512940654621,0.905196781650607,0.750936647857009,1.00210828916521,-4.00632486749563,1.0537624018191,0.915317882185368,0.84503766203832,0.976281232838263,-2.95256246567653,1.02221932925366,0.930083960644329,0.908123807169208,0.930343136422867,-1.93034313642287,0.930343136422867,0.949100898091196,1,0.854700752987649,-1,0.750440135140406,0.966610503121572,1,0.750440135140406,-0.249559864859594,0.428861173820294,0.942710970595488,0.678421038679887,0.58965065448035,0.1793013089607,0.25976913285452,0.680509290670014,0.34023695674834,0.47969014727174,0.43907044181522,0.238539804222566,0.430313037137221,0.276548970852478,0.419402561509447,0.677610246037786,0.231315845046828,0.312063673175382,0.247653134149528,0.381785218216923,0.908926091084615,0.251314912922912,1.0424701805428,0.381785218216923,1.12089662867217,0.231315845046828
"5","0075873a",4,4.01832589738239,-21.091629486912,4.2465944130037,0.803056022767306,-0.141342578106524,3.96125876847706,-16.8450350739083,4.29313324851911,0.801672405728579,-0.327497920168177,3.85063394179638,-12.5519018253891,4.38887962808795,0.799842823324319,-0.614737058874688,3.5815110986506,-8.1630221973012,4.48034746886083,0.797532574787334,-0.797672740420449,2.68267472844038,-3.68267472844038,2.68267472844038,0.811004324378278,1,1.20828091317095,-1,0.739769904816278,0.97916956504356,1,0.739769904816278,-0.260230095183722,0.27131264738765,0.980181967205865,0.531542742571373,0.505541276101964,0.011082552203928,0.14783836983066,0.951356377968445,0.284594187457391,0.386306974011529,0.158920922034588,0.118346498647327,0.896105395169586,0.196118573907394,0.319316855170479,0.277267420681915,0.106762034583338,0.829904536749396,0.149780717651438,0.276805891053051,0.384029455265253,0.763590914422184,4.01832589738239,0.276805891053051,4.48034746886083,0.106762034583338
"6","0081af50",2,1.11933799800311,-6.59668999001553,1.20735145153134,0.954041176235704,0.559932732358829,1.09733463462105,-5.38933853848419,1.1755185088938,0.957307570277639,0.687264502908972,1.07127334319679,-4.21382002959038,1.12579241142483,0.961618968824171,0.836442795315885,1.04401380908278,-3.08802761816555,1.05367582276723,0.967417619963097,0.980675972631092,1.03435179539832,-2.03435179539832,1.03435179539832,0.97608973147079,1,1.11565227827289,-1,0.877411737861105,0.988936306869969,1,0.877411737861105,-0.122588262138895,0.218537908943722,0.973624255303832,0.341126171082617,0.547974823402414,0.0959496468048271,0.0680947301351398,0.926610423667032,0.0402398134654525,0.388014792313322,0.164044376939967,0.0239103515568504,0.853065755740771,-0.0923133222694157,0.296988682124204,0.187954728496817,0.00868176227871298,0.754862682013794,-0.153227679381965,0.239327298155106,0.19663649077553,0.646717725639508,1.11933799800311,0.239327298155106,1.20735145153134,0.00868176227871298
"7","0093f095",4.5,1.15778465912019,-6.78892329560094,1.15183618019493,0.948356560677539,1.02974239462628,1.1592717788515,-5.637087115406,1.14506233025616,0.953745399807183,1.05683779438135,1.16400826171661,-4.49202478514984,1.13795212974405,0.96070325249071,1.07816839591768,1.17703632770289,-3.35407265540579,1.14270355461077,0.968222151989015,1.06866554618425,1.21136910079502,-2.21136910079502,1.21136910079502,0.97641722051851,1,1.22433900847646,-1,0.960007050642452,0.970605670849582,1,0.960007050642452,-0.0399929493575484,0.236256931704368,0.518767286256235,0.276249881061916,0.59813199117341,0.19626398234682,0.0514511612384925,0.146414017336399,-0.0933616598698346,0.415905047861771,0.247715143585312,0.0456120226659222,0.0625428218566113,-0.110879075587545,0.323331791562809,0.293327166251234,0.0566785233121836,0.0360967302986013,-0.0666130730024999,0.270001137912684,0.350005689563418,0.0246957217613221,1.22433900847646,0.270001137912684,1.21136910079502,0.0456120226659222
"8","009e23ab",4,1.20955379272119,-7.04776896360597,1.32467606599344,0.597519807466476,0.424388633638786,1.18077322440313,-5.72309289761254,1.29785318442042,0.606476037899682,0.531680159930849,1.14174657106404,-4.42523971319211,1.27409595516986,0.632608574714964,0.602951847682544,1.07557187901113,-3.15114375802226,1.21557766610355,0.710715159813531,0.719988425815167,0.935566091918712,-1.93556609191871,0.935566091918712,0.91544952304843,1,0.880761470151383,-1,0.649110605226403,0.966999776274949,1,0.649110605226403,-0.350889394773597,0.224333242868071,0.723399316191715,0.575222637641668,0.436721924047237,-0.126556151905527,0.17347489059969,0.493987803880406,0.473505933104908,0.348972912898055,0.0469187386941639,0.146110334167274,0.3899686084539,0.39141226380766,0.29825726821536,0.193029072861438,0.128891610529387,0.317304270130808,0.322537369256111,0.264384136678165,0.321920683390826,0.264795690802859,1.20955379272119,0.264384136678165,1.32467606599344,0.128891610529387
"9","00e048f1",3.5,1.32779900763098,-7.63899503815489,1.46353534100905,0.921414537004359,0.321318333109625,1.29386492428646,-6.17545969714584,1.44318761663919,0.93219191864249,0.402709230589066,1.24409069350222,-4.73227208050664,1.39187735473763,0.947510585952227,0.556640016293745,1.17019736288451,-3.34039472576901,1.27026949051853,0.966004178217899,0.799855744731949,1.07012523525048,-2.07012523525048,1.07012523525048,0.980505839901854,1,0.954785008166644,-1,0.799338186722007,0.974780097116925,1,0.799338186722007,-0.200661813277993,0.430228289075916,0.898050979646175,0.630890102353909,0.614783237898962,0.229566475797924,0.22843746508039,0.753448542729462,0.227308454362857,0.486001313626105,0.458003940878314,0.173725148552346,0.620554776214315,0.0631715047787242,0.407932272357665,0.63172908943066,0.160628610653469,0.518096650429405,0.0107853531832172,0.358471540016826,0.79235770008413,0.442476948756268,1.32779900763098,0.358471540016826,1.46353534100905,0.160628610653469
"10","00e1f05a",4.5,1.73076670703306,-9.65383353516532,1.91167453145559,0.749793153790927,0.0954608778873638,1.68553975092743,-7.74215900370972,1.90774842081794,0.754102458472329,0.111165320437967,1.61147019429726,-5.83441058289179,1.89614510087847,0.76538295038152,0.145975280256367,1.46913274100666,-3.93826548201331,1.78859808420495,0.800622708339561,0.361069313603415,1.14966739780836,-2.14966739780836,1.14966739780836,0.925124820431159,1,0.907111286191282,-1,0.741689612074575,0.992722084997286,1,0.741689612074575,-0.258310387925425,0.386334058851166,0.994430619021108,0.64464444677659,0.564011835462871,0.128023670925741,0.196789080066111,0.989931217988959,0.26555448920648,0.441604250330617,0.324812750991852,0.139550779356844,0.974112953662817,0.0938395870786815,0.366090882587174,0.464363530348696,0.122108490313613,0.947722676612508,0.0240704309057571,0.317294404132462,0.58647202066231,0.917155626843569,1.73076670703306,0.317294404132462,1.91167453145559,0.122108490313613
